date,location,commodity,price,rfh
2004-03,Dhaka,Rice (coarse),14.0,9.5679
2004-04,Dhaka,Rice (coarse),14.0,106.32716666666666
2004-08,Dhaka,Rice (coarse),15.0,62.24073333333333
2004-09,Dhaka,Rice (coarse),14.0,173.16666666666666
2004-10,Dhaka,Rice (coarse),15.0,59.64813333333333
2004-12,Dhaka,Rice (coarse),17.25,1.3951
2005-01,Dhaka,Rice (coarse),17.0,2.5432
2005-02,Dhaka,Rice (coarse),17.0,3.944433333333334
2005-03,Dhaka,Rice (coarse),16.0,43.24693333333333
2005-07,Dhaka,Rice (coarse),16.0,127.7469
2005-08,Dhaka,Rice (coarse),16.0,84.22840000000001
2005-09,Dhaka,Rice (coarse),16.0,119.51853333333334
2005-10,Chittagong,Rice (coarse),21.0,66.16996666666667
2005-10,Chittagong,Oil (palm),38.0,66.16996666666667
2005-10,Chittagong,Lentils (masur),45.0,66.16996666666667
2005-10,Dhaka,Lentils (masur),46.0,105.5864
2005-10,Khulna,Rice (coarse),17.0,111.14666666666666
2005-10,Khulna,Wheat flour,20.0,111.14666666666666
2005-10,Khulna,Oil (palm),41.0,111.14666666666666
2005-11,Chittagong,Rice (coarse),21.0,6.754966666666667
2005-11,Chittagong,Oil (palm),39.0,6.754966666666667
2005-11,Chittagong,Lentils (masur),43.0,6.754966666666667
2005-11,Dhaka,Rice (coarse),16.82,1.7778
2005-11,Dhaka,Wheat flour,20.0,1.7778
2005-11,Khulna,Wheat flour,19.0,1.4186666666666667
2005-11,Khulna,Oil (palm),38.0,1.4186666666666667
2005-12,Chittagong,Lentils (masur),43.0,2.933766666666666
2005-12,Dhaka,Wheat flour,20.0,1.1728666666666667
2005-12,Khulna,Oil (palm),39.0,0.9306666666666666
2006-01,Chittagong,Wheat flour,21.0,1.2097
2006-01,Chittagong,Oil (palm),40.5,1.2097
2006-01,Chittagong,Lentils (masur),43.0,1.2097
2006-01,Dhaka,Rice (coarse),16.33,1.2592333333333332
2006-01,Dhaka,Wheat flour,20.0,1.2592333333333332
2006-01,Dhaka,Lentils (masur),46.0,1.2592333333333332
2006-01,Khulna,Oil (palm),34.0,1.8266666666666669
2006-02,Chittagong,Rice (coarse),17.0,2.5297666666666667
2006-02,Chittagong,Wheat flour,21.0,2.5297666666666667
2006-02,Chittagong,Oil (palm),41.0,2.5297666666666667
2006-02,Chittagong,Lentils (masur),43.5,2.5297666666666667
2006-02,Dhaka,Wheat flour,20.0,2.240766666666667
2006-02,Dhaka,Lentils (masur),45.0,2.240766666666667
2006-02,Khulna,Oil (palm),38.0,2.5813333333333337
2006-02,Khulna,Lentils (masur),43.0,2.5813333333333337
2006-03,Chittagong,Rice (coarse),17.0,5.1854000000000005
2006-03,Chittagong,Wheat flour,21.5,5.1854000000000005
2006-03,Chittagong,Oil (palm),41.0,5.1854000000000005
2006-03,Chittagong,Lentils (masur),43.5,5.1854000000000005
2006-03,Dhaka,Rice (coarse),17.0,9.5679
2006-03,Dhaka,Wheat flour,21.5,9.5679
2006-03,Dhaka,Lentils (masur),46.0,9.5679
2006-03,Khulna,Rice (coarse),16.5,4.570666666666667
2006-03,Khulna,Wheat flour,20.0,4.570666666666667
2006-03,Khulna,Oil (palm),38.0,4.570666666666667
2006-03,Khulna,Lentils (masur),47.0,4.570666666666667
2006-04,Chittagong,Rice (coarse),17.0,26.0949
2006-04,Chittagong,Wheat flour,21.5,26.0949
2006-04,Chittagong,Oil (palm),39.0,26.0949
2006-04,Dhaka,Rice (coarse),17.33,55.48766666666666
2006-04,Dhaka,Wheat flour,21.75,55.48766666666666
2006-04,Dhaka,Lentils (masur),49.0,55.48766666666666
2006-04,Khulna,Wheat flour,20.5,24.418666666666667
2006-04,Khulna,Lentils (masur),49.0,24.418666666666667
2006-05,Chittagong,Wheat flour,21.5,175.0331
2006-05,Chittagong,Lentils (masur),47.0,175.0331
2006-05,Dhaka,Wheat flour,21.25,103.31483333333334
2006-05,Dhaka,Oil (palm),41.0,103.31483333333334
2006-05,Dhaka,Lentils (masur),51.67,103.31483333333334
2006-05,Khulna,Rice (coarse),16.0,61.13333333333333
2006-05,Khulna,Wheat flour,21.0,61.13333333333333
2006-05,Khulna,Lentils (masur),52.0,61.13333333333333
2006-05,Rajshahi,Rice (coarse),16.0,48.937266666666666
2006-06,Chittagong,Wheat flour,22.0,178.34879999999998
2006-06,Chittagong,Lentils (masur),48.0,178.34879999999998
2006-06,Dhaka,Rice (coarse),16.0,97.5617
2006-06,Dhaka,Wheat flour,21.33,97.5617
2006-06,Dhaka,Lentils (masur),52.0,97.5617
2006-06,Khulna,Rice (coarse),16.0,64.03466666666667
2006-06,Khulna,Wheat flour,20.5,64.03466666666667
2006-06,Khulna,Lentils (masur),52.0,64.03466666666667
2006-07,Chittagong,Rice (coarse),17.0,174.02650000000003
2006-07,Chittagong,Wheat flour,22.0,174.02650000000003
2006-07,Chittagong,Lentils (masur),48.5,174.02650000000003
2006-07,Dhaka,Wheat flour,21.4,81.4506
2006-07,Dhaka,Oil (palm),40.0,81.4506
2006-07,Dhaka,Lentils (masur),54.0,81.4506
2006-07,Khulna,Rice (coarse),16.0,118.89333333333332
2006-07,Khulna,Wheat flour,21.0,118.89333333333332
2006-07,Rajshahi,Rice (coarse),17.0,60.1804
2006-07,Rajshahi,Wheat flour,20.0,60.1804
2006-07,Rajshahi,Oil (palm),44.0,60.1804
2006-07,Rajshahi,Lentils (masur),52.0,60.1804
2006-08,Barisal,Rice (coarse),17.0,72.27083333333333
