date,location,commodity,unit,price
2004-03-15,Dhaka,Rice (coarse),KG,14.0
2004-04-15,Dhaka,Rice (coarse),KG,14.0
2004-08-15,Dhaka,Rice (coarse),KG,15.0
2004-09-15,Dhaka,Rice (coarse),KG,14.0
2004-10-15,Dhaka,Rice (coarse),KG,15.0
2004-12-15,Dhaka,Rice (coarse),KG,17.25
2005-01-15,Dhaka,Rice (coarse),KG,17.0
2005-02-15,Dhaka,Rice (coarse),KG,17.0
2005-03-15,Dhaka,Rice (coarse),KG,16.0
2005-07-15,Dhaka,Rice (coarse),KG,16.0
2005-08-15,Dhaka,Rice (coarse),KG,16.0
2005-09-15,Dhaka,Rice (coarse),KG,16.0
2005-10-15,Chittagong,Rice (coarse),KG,21.0
2005-10-15,Chittagong,Oil (palm),L,38.0
2005-10-15,Chittagong,Lentils (masur),KG,45.0
2005-10-15,Dhaka,Lentils (masur),KG,46.0
2005-10-15,Khulna,Rice (coarse),KG,17.0
2005-10-15,Khulna,Wheat flour,KG,20.0
2005-10-15,Khulna,Oil (palm),L,41.0
2005-11-15,Chittagong,Rice (coarse),KG,21.0
2005-11-15,Chittagong,Oil (palm),L,39.0
2005-11-15,Chittagong,Lentils (masur),KG,43.0
2005-11-15,Dhaka,Rice (coarse),KG,16.82
2005-11-15,Dhaka,Wheat flour,KG,20.0
2005-11-15,Khulna,Wheat flour,KG,19.0
2005-11-15,Khulna,Oil (palm),L,38.0
2005-12-15,Chittagong,Lentils (masur),KG,43.0
2005-12-15,Dhaka,Wheat flour,KG,20.0
2005-12-15,Khulna,Oil (palm),L,39.0
2006-01-15,Chittagong,Wheat flour,KG,21.0
2006-01-15,Chittagong,Oil (palm),L,40.5
2006-01-15,Chittagong,Lentils (masur),KG,43.0
2006-01-15,Dhaka,Rice (coarse),KG,16.33
2006-01-15,Dhaka,Wheat flour,KG,20.0
2006-01-15,Dhaka,Lentils (masur),KG,46.0
2006-01-15,Khulna,Oil (palm),L,34.0
2006-02-15,Chittagong,Rice (coarse),KG,17.0
2006-02-15,Chittagong,Wheat flour,KG,21.0
2006-02-15,Chittagong,Oil (palm),L,41.0
2006-02-15,Chittagong,Lentils (masur),KG,43.5
2006-02-15,Dhaka,Wheat flour,KG,20.0
2006-02-15,Dhaka,Lentils (masur),KG,45.0
2006-02-15,Khulna,Oil (palm),L,38.0
2006-02-15,Khulna,Lentils (masur),KG,43.0
2006-03-15,Chittagong,Rice (coarse),KG,17.0
2006-03-15,Chittagong,Wheat flour,KG,21.5
2006-03-15,Chittagong,Oil (palm),L,41.0
2006-03-15,Chittagong,Lentils (masur),KG,43.5
2006-03-15,Dhaka,Rice (coarse),KG,17.0
2006-03-15,Dhaka,Wheat flour,KG,21.5
2006-03-15,Dhaka,Lentils (masur),KG,46.0
2006-03-15,Khulna,Rice (coarse),KG,16.5
2006-03-15,Khulna,Wheat flour,KG,20.0
2006-03-15,Khulna,Oil (palm),L,38.0
2006-03-15,Khulna,Lentils (masur),KG,47.0
2006-04-15,Chittagong,Rice (coarse),KG,17.0
2006-04-15,Chittagong,Wheat flour,KG,21.5
2006-04-15,Chittagong,Oil (palm),L,39.0
2006-04-15,Dhaka,Rice (coarse),KG,17.33
2006-04-15,Dhaka,Wheat flour,KG,21.75
2006-04-15,Dhaka,Lentils (masur),KG,49.0
2006-04-15,Khulna,Wheat flour,KG,20.5
2006-04-15,Khulna,Lentils (masur),KG,49.0
2006-05-15,Chittagong,Wheat flour,KG,21.5
2006-05-15,Chittagong,Lentils (masur),KG,47.0
2006-05-15,Dhaka,Wheat flour,KG,21.25
2006-05-15,Dhaka,Oil (palm),L,41.0
2006-05-15,Dhaka,Lentils (masur),KG,51.67
2006-05-15,Khulna,Rice (coarse),KG,16.0
2006-05-15,Khulna,Wheat flour,KG,21.0
2006-05-15,Khulna,Lentils (masur),KG,52.0
2006-05-15,Rajshahi,Rice (coarse),KG,16.0
2006-06-15,Chittagong,Wheat flour,KG,22.0
2006-06-15,Chittagong,Lentils (masur),KG,48.0
2006-06-15,Dhaka,Rice (coarse),KG,16.0
