ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,AREA_SQKM
Bagerhat,BD4001,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3646.18417015368
Bandarban,BD2003,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,4595.2601134391
Barguna,BD1004,,,,Barisal,BD10,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1345.65052072562
Barisal,BD1006,,,,Barisal,BD10,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2219.58086086033
Bhola,BD1009,,,,Barisal,BD10,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1948.54373916624
Bogra,BD5010,,,,Rajshahi,BD50,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2912.59416171989
Brahamanbaria,BD2012,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1922.68190754572
Chandpur,BD2013,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1469.43703510629
Chittagong,BD2015,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,4450.85926077273
Chuadanga,BD4018,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1165.10167493216
Comilla,BD2019,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3088.03048093458
Cox's Bazar,BD2022,Coxs Bazar,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2172.97806047136
Dhaka,BD3026,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1476.08148926088
Dinajpur,BD5527,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3460.16455125723
Faridpur,BD3029,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2043.6892204937
Feni,BD2030,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,906.897690362133
Gaibandha,BD5532,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2166.58358748208
Gazipur,BD3033,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1817.13929007167
Gopalganj,BD3035,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1475.92493837469
Habiganj,BD6036,,,,Sylhet,BD60,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2582.43372146929
Jamalpur,BD4539,,,,Mymensingh,BD45,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2065.67629967395
Jessore,BD4041,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2584.93274512647
Jhalokati,BD1042,,,,Barisal,BD10,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,738.751912627692
Jhenaidah,BD4044,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1956.10565641567
Joypurhat,BD5038,,,,Rajshahi,BD50,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,960.249723121805
Khagrachhari,BD2046,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2855.5443980088
Khulna,BD4047,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3625.14317138441
Kishoreganj,BD3048,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2564.92036390381
Kurigram,BD5549,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2275.72392576185
Kushtia,BD4050,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1614.72839716238
Lakshmipur,BD2051,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1243.73249528474
Lalmonirhat,BD5552,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1274.9137777715
Madaripur,BD3054,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1135.27359498901
Magura,BD4055,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1048.76443543379
Manikganj,BD3056,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1374.27672348901
Maulvibazar,BD6058,,,,Sylhet,BD60,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2678.8099118085
Meherpur,BD4057,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,722.524676025116
Munshiganj,BD3059,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,932.678817015878
